package,old,new,delta
lmeresampler,0.2.2,0.2.3,*
colorspace,NA,2.1-0,*
fansi,NA,1.0.4,*
ggdist,NA,3.2.1,*
lubridate,NA,1.9.1,*
Rcpp,NA,1.0.10,*
RcppArmadillo,NA,0.11.4.3.1,*
statmod,NA,1.5.0,*
tidyr,NA,1.3.0,*
timechange,NA,0.2.0,*
vctrs,NA,0.5.2,*
